id,date,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
57779,2023-02-21 01:37:23,40121,MOTO G62 4/128 GRIS,1.0,SUC. CONSTITUYENTES (QRO),4655.17241379,4655.17
57782,2023-02-21 01:37:24,40121,MOTO G62 4/128 GRIS,0.0,SUC. CONSTITUYENTES (QRO),4654.31,0.0
57775,2023-02-21 01:35:28,29524,HISENSE V40i 3/64 DORADO,1.0,SUC. LEON CENTRO (LEON),2757.76,2757.76
57771,2023-02-21 01:28:56,31498,SAM A04E 3/64 AZUL,1.0,SUC. ALLENDE (QRO),2585.34724138,2585.35
57767,2023-02-21 01:02:43,26671,HONOR X8 6/128 PLATA,1.0,SUC. ALLENDE (CELAYA),4481.9,4481.9
57763,2023-02-21 00:56:35,30563,HONOR X6S 4/128 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),3188.8,3188.8
57759,2023-02-21 00:53:01,28971,MOTO G52 6/256 BLANCO,1.0,SUC. MADERO (LEON),5861.21,5861.21
57755,2023-02-21 00:52:57,30564,HONOR X6S 4/128 PLATA,1.0,SUC. CORREGIDORA 2 (QRO),3188.8,3188.8
57752,2023-02-21 00:36:12,26579,MOTO G41 4/128 DORADO,1.0,SUC. HIDALGO (CELAYA),3964.6551,3964.66
57748,2023-02-21 00:34:30,31487,SAM A23 4/64 AZUL,1.0,SUC. ANDADOR (CELAYA),4481.8965,4481.9
57744,2023-02-21 00:29:51,25737,SAM A03 4/64 NEGRO,1.0,SUC. ANDADOR (CELAYA),3447.4137,3447.41
57741,2023-02-21 00:28:58,39901,HONOR X7A 6/128 PLATA,1.0,SUC. HIDALGO (CELAYA),4137.0689,4137.07
57738,2023-02-21 00:25:31,26576,SAM A33 6/128 NEGRO,1.0,SUC. CORREGIDORA 3 (QRO),6766.38,6766.38
57735,2023-02-21 00:23:55,31122,MOTO G52 6/256 AZUL,1.0,SUC. HIDALGO (CELAYA),6033.6206,6033.62
57731,2023-02-21 00:23:42,25534,MOTO E20 2/32 GRIS,1.0,SUC. ANDADOR (CELAYA),2499.1379,2499.14
57728,2023-02-21 00:21:00,30358,HONOR X6 4/64 PLATA,1.0,SUC. VIA ALTA SUR (LEON),3102.59,3102.59
57725,2023-02-21 00:18:19,25534,MOTO E20 2/32 GRIS,1.0,SUC. HIDALGO (CELAYA),2585.344827,2585.34
57721,2023-02-21 00:00:02,25533,MOTO E20 2/32 AZUL,1.0,SUC. MADERO (LEON),2068.11,2068.11
57717,2023-02-20 23:53:51,25533,MOTO E20 2/32 AZUL,1.0,SUC. MADERO (LEON),2068.11,2068.11
57715,2023-02-20 23:49:53,26585,MOTO G22 4/128 NEGRO,1.0,SUC. MADERO (LEON),3878.45,3878.45
57711,2023-02-20 23:45:09,31498,SAM A04E 3/64 AZUL,1.0,SUC. MADERO (LEON),2585.34724138,2585.35
57684,2023-02-20 22:50:02,30106,SAM A33 6/128 DURAZNO,1.0,SUC. CORREGIDORA 2 (QRO),6766.38,6766.38
57703,2023-02-20 23:19:27,29341,SAM A13 4/64 NEGRO,1.0,SUC. MADERO (LEON),3619.83,3619.83
57700,2023-02-20 23:17:35,31487,SAM A23 4/64 AZUL,1.0,SUC. FIESTA (IRAPUATO),4395.69,4395.69
57698,2023-02-20 23:10:30,25533,MOTO E20 2/32 AZUL,1.0,SUC. GUERRERO (QRO),2068.11,2068.11
57695,2023-02-20 23:05:54,30980,MOTO G22 4/128 AZUL,1.0,SUC. GUERRERO (QRO),3878.45,3878.45
57692,2023-02-20 23:00:19,25533,MOTO E20 2/32 AZUL,1.0,SUC. GUERRERO (QRO),2068.11,2068.11
57689,2023-02-20 22:54:47,29339,SAM A13 4/64 AZUL,1.0,SUC. GUERRERO (QRO),3619.83,3619.83
57685,2023-02-20 22:53:13,31500,SAM A04E 3/64 NEGRO,1.0,SUC. ALLENDE (QRO),2585.34724138,2585.35
57680,2023-02-20 22:44:18,31226,MOTO E22I 2/64 GRIS KIT,1.0,SUC. ALLENDE (QRO),2930.17482759,2930.17
57677,2023-02-20 22:15:42,26579,MOTO G41 4/128 DORADO,1.0,SUC. ALLENDE (QRO),3619.83,3619.83
57672,2023-02-20 22:03:55,26541,XIAOMI REDMI-NOTE-11S 6/128 AZUL,1.0,SUC. HIDALGO 2 (CELAYA),5171.5517,5171.55
57663,2023-02-20 19:45:28,31487,SAM A23 4/64 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),4395.69,4395.69
57669,2023-02-20 20:29:47,29339,SAM A13 4/64 AZUL,1.0,SUC. CORREGIDORA 3 (QRO),3619.83,3619.83
57667,2023-02-20 20:19:00,26585,MOTO G22 4/128 NEGRO,1.0,SUC. GUERRERO (QRO),3878.45,3878.45
57660,2023-02-20 19:29:05,31122,MOTO G52 6/256 AZUL,1.0,SUC. ALAMEDA (QRO),5861.21,5861.21
57099,2023-02-18 19:23:18,25741,SAM A03S 4/64 AZUL,1.0,SUC. MAYOREO (QRO),2861.20931034,2861.21
57662,2023-02-20 19:40:17,25572,MOTOROLA EARBUDS SH067 BLANCO,1.0,SUC. ALLENDE (QRO),688.79310345,688.79
57636,2023-02-20 17:56:57,29339,SAM A13 4/64 AZUL,1.0,SUC. CORREGIDORA 3 (QRO),3619.83,3619.83
