id,date,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
83776,2022-09-28 19:59:00,29411,20.0% de descuento en productos,1.0,SUC. BOULEVARES (QRO),-51.552,-51.55
83777,2022-09-28 20:01:44,19477,BLU Z5 X/X AZUL,1.0,SUC. MADERO (QRO),257.75862069,257.76
83779,2022-09-28 20:13:56,24933,MANOS LIBRES FLAT NEGRO IPHONE,1.0,SUC. LA CRUZ (QRO),111.20689655,111.21
83783,2022-09-28 20:19:00,29578,SAM A03-CORE 2/32 BRONCE,1.0,SUC. CORREGIDORA 2 (QRO),2240.52,2240.52
83786,2022-09-28 20:19:59,29411,20.0% de descuento en productos,1.0,SUC. LA VICTORIA (QRO),-84.31,-84.31
83794,2022-09-28 20:21:38,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-174.826,-174.83
83802,2022-09-28 20:40:10,26669,HISENSE U30 1/32 GRIS,1.0,SUC. LEON CENTRO (LEON),1507.75862069,1507.76
83807,2022-09-28 20:41:42,24889,8A19LEDMV200TCRGBW LAMPARA LED A19 RGB 8W 100-127V 3000K,1.0,SUC. PLAZA PATIO (QRO),214.65517241,214.66
83811,2022-09-28 20:42:42,27130,MOTO G60 4/128 NEGRO,1.0,SUC. ALLENDE (QRO),4740.52,4740.52
83820,2022-09-28 21:09:36,29578,SAM A03-CORE 2/32 BRONCE,1.0,SUC. ALLENDE (QRO),2240.52,2240.52
83828,2022-09-28 21:27:35,26729,HONOR X8 6/128 AZUL,1.0,SUC. OBREGON (LEON),4568.10344828,4568.1
83834,2022-09-28 21:30:10,29411,20.0% de descuento en productos,1.0,SUC. OBREGON (LEON),-80.172,-80.17
83838,2022-09-28 21:44:28,19861,DIFUSOR ESFERA CON LUZ CAFÉ CLARO,1.0,SUC. OBREGON (LEON),214.65517241,214.66
83849,2022-09-28 21:59:39,29504,HONOR X7 4/128 NEGRO,1.0,SUC. PLAZA MAYOR (LEON),3619.82758621,3619.83
83857,2022-09-28 22:07:14,29411,20.0% de descuento en productos,1.0,SUC. PARQUE (CELAYA),-51.552,-51.55
83860,2022-09-28 22:21:12,25999,XIAOMI REDMI-9A 2/32 AZUL,1.0,SUC. ALLENDE (QRO),2240.52,2240.52
83861,2022-09-28 22:25:19,26050,ZTE L210 1/32 NEGRO,1.0,SUC. CONSTITUYENTES (QRO),1464.6551,1464.66
83865,2022-09-28 22:33:59,25599,MOUSE INAL MOREKA MW-01,1.0,SUC. ALLENDE (QRO),111.20689655,111.21
