product_id,description,date,name,qty,price_unit
26015,XIAOMI REDMI-NOTE-10S 6/128 GRIS,2022-05-06,CORREGIDORA 2 (QRO),1,5861.21
25611,NOKIA C30 2/64 GRIS,2022-05-06,ALAMEDA (QRO),1,2843.97
26433,SAM A23 4/128 AZUL,2022-05-06,ALLENDE (QRO),1,5861.21
25742,SAM A03S 4/64 NEGRO,2022-05-05,FIESTA (IRAPUATO),1,3706.03
26433,SAM A23 4/128 AZUL,2022-05-06,MADERO (LEON),1,5861.21
26017,XIAOMI REDMI-NOTE-10S 6/128 NGO,2022-05-06,MADERO (LEON),1,5861.21
24794,HISENSE E20S 2/32 AZUL,2022-05-06,MADERO (LEON),1,2412.93
25549,MOTO G20 4/64 AZUL,2022-05-06,MADERO (LEON),1,4137.07
25563,MOTO G60 6/128 PLATA,2022-05-06,MADERO (LEON),1,7154.31
26432,SAM A13 4/128 AZUL,2022-05-06,CORREGIDORA 2 (QRO),1,4740.52
25758,SAM A22 4/64 BCO,2022-05-06,PARQUE (QRO),1,4826.72
26432,SAM A13 4/128 AZUL,2022-05-06,CORREGIDORA 4 (QRO),1,4740.52
25758,SAM A22 4/64 BCO,2022-05-06,URBAN (QRO),1,4826.72
26432,SAM A13 4/128 AZUL,2022-05-05,ALLENDE (QRO),1,4740.52
26581,SAM A32 4/128 NEGRO KIT,2022-05-05,OBREGON (LEON),1,5862.0689
26580,MOTO G71-5G 6/128 VERDE,2022-05-05,HIDALGO (CELAYA),1,6809.48275862
25743,SAM A03S 4/64 ROJO,2022-05-05,LEON CENTRO (LEON),1,3706.03
25742,SAM A03S 4/64 NEGRO,2022-05-05,LEON CENTRO (LEON),1,3706.03
25760,SAM A22 4/64 MENTA,2022-05-05,ALAMEDA (QRO),1,4826.72
26566,SAM A03S 4/64 NEGRO KIT,2022-05-05,HIDALGO (CELAYA),1,3706.03448
25611,NOKIA C30 2/64 GRIS,2022-05-05,GUERRERO (QRO),1,2843.97
25549,MOTO G20 4/64 AZUL,2022-05-05,ANDADOR (CELAYA),1,4223.2758
24795,HISENSE E50 4/128 VERDE,2022-05-05,ANDADOR (CELAYA),1,3619.8275
25550,MOTO G20 4/64 ROSA,2022-05-05,ANDADOR (CELAYA),1,4223.2758
26432,SAM A13 4/128 AZUL,2022-05-05,GUERRERO (QRO),1,4740.52
25550,MOTO G20 4/64 ROSA,2022-05-05,PLAZA PATIO (QRO),1,4137.07
26548,SAM A32 4/128 AZUL KIT,2022-05-05,CORREGIDORA 3 (QRO),1,5861.2068
25550,MOTO G20 4/64 ROSA,2022-05-05,GUERRERO (QRO),1,4137.07
25608,NOKIA C01-PLUS 1/32 AZUL,2022-05-05,GUERRERO (QRO),1,1895.69
26432,SAM A13 4/128 AZUL,2022-05-05,CORREGIDORA 2 (QRO),1,4740.52
26431,SAM A13 4/128 BLANCO,2022-05-05,CORREGIDORA 2 (QRO),1,4740.52
26431,SAM A13 4/128 BLANCO,2022-05-05,PARQUE (CELAYA),1,4740.52
25549,MOTO G20 4/64 AZUL,2022-05-05,PLAZA PATIO (QRO),1,4137.07
26279,SAM A53 8/128 BLANCO,2022-05-05,MADERO (LEON),1,9826.72
26432,SAM A13 4/128 AZUL,2022-05-05,CORREGIDORA 2 (QRO),1,4740.52
26433,SAM A23 4/128 AZUL,2022-05-05,LEON CENTRO (LEON),1,5861.21
24812,HUAWEI Y9A 6/128 PLATA KIT,2022-05-05,ALAMEDA (QRO),1,6895.68965517
25764,SAM A32 4/128 LILA,2022-05-05,VIA ALTA SUR (LEON),1,5861.21
25549,MOTO G20 4/64 AZUL,2022-05-05,CORREGIDORA 4 (QRO),1,4223.2758
25549,MOTO G20 4/64 AZUL,2022-05-04,MADERO (LEON),1,4137.07
25740,SAM A03-CORE 2/32 NGO,2022-05-04,ALLENDE (QRO),1,2843.97
26277,SAM A53 8/128 DURAZNO,2022-05-04,ALAMEDA (QRO),1,9826.72
26142,SAM A12 4/64 AZUL KIT,2022-05-04,ALAMEDA (QRO),1,4568.10344828
25563,MOTO G60 6/128 PLATA,2022-05-04,LEON CENTRO (LEON),1,7154.31
26431,SAM A13 4/128 BLANCO,2022-05-04,ALLENDE (QRO),1,4740.52
26280,SAM A53 8/128 NEGRO,2022-05-04,OBREGON (LEON),1,9827.5862
26549,SAM A32 4/128 BLANCO KIT,2022-05-04,ALLENDE (QRO),1,5861.2069
25736,SAM A03 4/64 AZUL,2022-05-04,FIESTA (IRAPUATO),1,3706.03
25550,MOTO G20 4/64 ROSA,2022-05-04,HIDALGO (CELAYA),1,4137.07
24808,HUAWEI Y5P 2/32 AZUL KIT,2022-05-04,URBAN (QRO),1,2240.52
26565,SAM A03S 4/64 AZUL KIT,2022-05-04,HIDALGO (CELAYA),1,3706.03
25762,SAM A32 4/128 AZUL,2022-05-04,GUERRERO (QRO),1,5861.21
26431,SAM A13 4/128 BLANCO,2022-05-04,CORREGIDORA 3 (QRO),1,4740.52
24795,HISENSE E50 4/128 VERDE,2022-05-04,HIDALGO (CELAYA),1,3533.62
26583,SAM A32 4/128 LILA KIT,2022-05-04,CORREGIDORA 2 (QRO),1,5861.2068
26015,XIAOMI REDMI-NOTE-10S 6/128 GRIS,2022-05-04,URBAN (QRO),1,5861.20689655
25550,MOTO G20 4/64 ROSA,2022-05-04,ALLENDE (QRO),1,4137.07
26138,MOTO G31 4/128 GRIS,2022-05-04,PARQUE (QRO),1,5343.96551724
26566,SAM A03S 4/64 NEGRO KIT,2022-05-04,CORREGIDORA 4 (QRO),1,3706.03
26432,SAM A13 4/128 AZUL,2022-05-04,CORREGIDORA 4 (QRO),1,4654.3103
26581,SAM A32 4/128 NEGRO KIT,2022-05-04,CORREGIDORA 2 (QRO),1,5861.2068
25611,NOKIA C30 2/64 GRIS,2022-05-04,GUERRERO (QRO),1,2843.97
24795,HISENSE E50 4/128 VERDE,2022-05-04,CORREGIDORA 2 (QRO),1,3533.62
25550,MOTO G20 4/64 ROSA,2022-05-04,ALLENDE (CELAYA),1,4137.07
25785,SAM A52 6/128 BLANCO KIT,2022-05-04,CORREGIDORA 2 (QRO),1,7585.344
25611,NOKIA C30 2/64 GRIS,2022-05-04,LEON CENTRO (LEON),1,2843.97
25758,SAM A22 4/64 BCO,2022-05-04,LEON CENTRO (LEON),1,4826.72
26433,SAM A23 4/128 AZUL,2022-05-04,ALAMEDA (QRO),1,5861.21
25549,MOTO G20 4/64 AZUL,2022-05-04,ALAMEDA (QRO),1,4137.07
26528,SAM A03 4/128 NEGRO,2022-05-04,ALLENDE (QRO),1,4050.86
26566,SAM A03S 4/64 NEGRO KIT,2022-05-04,ALLENDE (QRO),1,3706.03
25740,SAM A03-CORE 2/32 NGO,2022-05-04,CORREGIDORA 4 (QRO),1,2843.97
25760,SAM A22 4/64 MENTA,2022-05-04,ALLENDE (QRO),1,4826.72
25742,SAM A03S 4/64 NEGRO,2022-05-04,LEON CENTRO (LEON),1,3706.03
24794,HISENSE E20S 2/32 AZUL,2022-05-04,LEON CENTRO (LEON),1,2412.93
25550,MOTO G20 4/64 ROSA,2022-05-04,LEON CENTRO (LEON),1,4137.07
24795,HISENSE E50 4/128 VERDE,2022-05-04,FIESTA (IRAPUATO),1,3533.62
25550,MOTO G20 4/64 ROSA,2022-05-04,MADERO (QRO),1,4137.07
25743,SAM A03S 4/64 ROJO,2022-05-04,LEON CENTRO (LEON),1,3706.03
25611,NOKIA C30 2/64 GRIS,2022-05-04,LEON CENTRO (LEON),1,2843.97
25549,MOTO G20 4/64 AZUL,2022-05-04,BOULEVARES (QRO),1,4137.07
25741,SAM A03S 4/64 AZUL,2022-05-04,LEON CENTRO (LEON),1,3706.03
25761,SAM A22 4/64 NEGRO,2022-05-03,PARQUE (QRO),1,4826.72
24813,HUAWEI Y9A 6/128 ROSA KIT,2022-05-03,CORREGIDORA 2 (QRO),1,5861.20689655
25549,MOTO G20 4/64 AZUL,2022-05-03,HIDALGO 2 (CELAYA),1,4223.2758
26565,SAM A03S 4/64 AZUL KIT,2022-05-03,CORREGIDORA 4 (QRO),1,3706.03
26579,MOTO G41 4/128 DORADO,2022-05-03,CORREGIDORA 2 (QRO),1,5602.59
26568,SAM A52 6/128 NEGRO KIT,2022-05-03,CORREGIDORA 2 (QRO),1,8447.4137
25549,MOTO G20 4/64 AZUL,2022-05-03,CORREGIDORA 2 (QRO),1,4137.07
26431,SAM A13 4/128 BLANCO,2022-05-03,ANDADOR (CELAYA),1,4826.7241
25549,MOTO G20 4/64 AZUL,2022-05-03,CORREGIDORA 3 (QRO),1,4223.2758
26432,SAM A13 4/128 AZUL,2022-05-03,CORREGIDORA 4 (QRO),1,4740.52
26277,SAM A53 8/128 DURAZNO,2022-05-03,BOULEVARES (QRO),1,9826.72
25739,SAM A03-CORE 2/32 AZUL,2022-05-03,LA VICTORIA (QRO),1,2843.97
25550,MOTO G20 4/64 ROSA,2022-05-03,ALLENDE (QRO),1,4137.07
25755,SAM A12 4/64 NEGRO,2022-05-03,CORREGIDORA 4 (QRO),1,4568.1
26565,SAM A03S 4/64 AZUL KIT,2022-05-03,HIDALGO 2 (CELAYA),1,3792.2413
25740,SAM A03-CORE 2/32 NGO,2022-05-03,HIDALGO 2 (CELAYA),1,2843.97
26278,SAM A53 8/128 AZUL,2022-05-03,GUERRERO (QRO),1,9826.72
25550,MOTO G20 4/64 ROSA,2022-05-02,PARQUE (CELAYA),1,4137.07
24795,HISENSE E50 4/128 VERDE,2022-05-03,ALAMEDA (QRO),1,3533.62
26433,SAM A23 4/128 AZUL,2022-05-03,LEON CENTRO (LEON),1,5861.21
25610,NOKIA C20 2/32 AZUL,2022-05-03,OBREGON (LEON),1,2413.7931
25742,SAM A03S 4/64 NEGRO,2022-05-03,LEON CENTRO (LEON),1,3706.03
26277,SAM A53 8/128 DURAZNO,2022-05-03,CORREGIDORA 3 (QRO),1,9826.72
24797,HISENSE U3 1/16 AZUL,2022-05-03,LEON CENTRO (LEON),1,1550.86
25549,MOTO G20 4/64 AZUL,2022-05-03,LEON CENTRO (LEON),1,4137.07
26431,SAM A13 4/128 BLANCO,2022-05-03,MADERO (QRO),1,4740.52
25742,SAM A03S 4/64 NEGRO,2022-05-03,MADERO (LEON),1,3706.03
26431,SAM A13 4/128 BLANCO,2022-05-03,MADERO (QRO),1,4740.52
25611,NOKIA C30 2/64 GRIS,2022-05-03,MADERO (LEON),1,2843.97
26433,SAM A23 4/128 AZUL,2022-05-03,CORREGIDORA 2 (QRO),1,5861.21
24833,HUAWEI NOVA-Y60 4/64 NEGRO,2022-05-02,CORREGIDORA 3 (QRO),1,4137.07
25743,SAM A03S 4/64 ROJO,2022-05-02,HIDALGO 2 (CELAYA),1,3792.2413
