id,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
49244,29339,SAM A13 4/64 AZUL,1.0,SUC. CORREGIDORA 3 (QRO),3964.655172,3964.66
49249,19527,BOCINA MOREKA T23,1.0,SUC. ALLENDE (CELAYA),171.55172414,171.55
49257,19870,DOPPIO F1811 X/X NEGRO KIT,1.0,SUC. ALLENDE (CELAYA),318.10344828,318.1
49260,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-29.138,-29.14
49263,24933,MANOS LIBRES FLAT NEGRO IPHONE,1.0,SUC. HIDALGO (CELAYA),111.20689655,111.21
49277,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-34.31,-34.31
49284,19110,ADAPTADOR LIGHTNING A 3.5,1.0,SUC. UPTOWN (QRO),111.20689655,111.21
49287,26437,SAM A23 4/128 NEGRO,1.0,SUC. PLAZA MAYOR (LEON),4999.13793103,4999.14
49290,25741,SAM A03S 4/64 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),3447.4137931,3447.41
49293,24858,I-MOBIL GSM-IM220 X/X NEGRO/VERDE KIT,1.0,SUC. OBREGON (LEON),309.48,309.48
49297,27157,XIAOMI REDMI-10A 3/64 GRIS,1.0,SUC. MADERO (QRO),2843.96551724,2843.9700000000003
49300,29490,KODAK SEREN-D60LX 2/32 AZUL KIT,1.0,SUC. CORREGIDORA 2 (QRO),1378.44827586,1378.45
49305,28974,XIAOMI REDMI-10C 3/64 VERDE,1.0,SUC. PARQUE (QRO),3016.37931034,3016.38
49307,29504,HONOR X7 4/128 NEGRO,1.0,SUC. ALLENDE (QRO),3619.82758621,3619.83
49318,29411,20.0% de descuento en productos,1.0,SUC. CONSTITUYENTES (QRO),-82.586,-82.59
49322,26082,XIAOMI POCO-X3-GT 8/128 BCO,1.0,SUC. LA VICTORIA (QRO),6378.4482,6378.45
49342,29410,99.99% de descuento en productos,1.0,SUC. CONSTITUYENTES (QRO),-34.31,-34.31
49346,27180,HUAWEI Y5P 2/32 VERDE,1.0,SUC. FIESTA (IRAPUATO),2154.31034483,2154.31
49353,24812,HUAWEI Y9A 6/128 PLATA KIT,1.0,SUC. CORREGIDORA 3 (QRO),5171.55,5171.55
49357,26580,MOTO G71-5G 6/128 VERDE,1.0,SUC. PLAZA PATIO (QRO),6033.62068966,6033.62
49363,25548,MOTO G20 4/128 AZUL,1.0,SUC. FIESTA (IRAPUATO),4223.27586207,4223.28
49374,25605,NOKIA 106 4MB/4MB NEGRO,1.0,SUC. ALLENDE (QRO),430.17241379,430.17
49380,29411,20.0% de descuento en productos,1.0,SUC. PLAZA PATIO (QRO),-34.31,-34.31
49381,27179,HUAWEI Y5P 2/32 NEGRO,1.0,SUC. ALAMEDA (QRO),2154.31034483,2154.31
49382,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. PARQUE (QRO),2154.31034483,2154.31
49396,27184,XIAOMI REDMI-10C 4/128 GRIS,-1.0,SUC. MADERO (QRO),3447.4137931,-3447.41
49399,27184,XIAOMI REDMI-10C 4/128 GRIS,1.0,SUC. MADERO (QRO),3447.4137931,3447.41
49401,27157,XIAOMI REDMI-10A 3/64 GRIS,1.0,SUC. CORREGIDORA 2 (QRO),2843.96551724,2843.9700000000003
49410,29411,20.0% de descuento en productos,1.0,SUC. ANTEA (QRO),-86.034,-86.03
49412,29411,20.0% de descuento en productos,1.0,SUC. ANTEA (QRO),-86.034,-86.03
49417,19882,"ECHO SHOW 5"" ALEXA NEGRA",1.0,SUC. GALERIAS (QRO),1464.65517241,1464.66
49420,24933,MANOS LIBRES FLAT NEGRO IPHONE,2.0,SUC. FIESTA (IRAPUATO),111.20689655,222.41
49423,29411,20.0% de descuento en productos,1.0,SUC. PLAZA PATIO (QRO),-34.31,-34.31
49444,19513,KB-RAD-68 BOCINA KBOD BARRA KB-RAD-68 COLORES VAR,1.0,SUC. HIDALGO (CELAYA),257.75862069,257.76
49454,29411,20.0% de descuento en productos,1.0,SUC. ANTEA (QRO),-17.068,-17.07
49459,25648,GAR108 PLUGIN AUTO 1HORA 2PUERTOS GAR108 NEGRO,1.0,SUC. PARQUE (QRO),59.48275862,59.48
49466,29411,20.0% de descuento en productos,1.0,SUC. GALERIAS (QRO),-42.932,-42.93
49471,25540,MOTO E6I 2/32 ROSA,1.0,SUC. CORREGIDORA 2 (QRO),2412.93,2412.93
49476,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. CORREGIDORA 4 (QRO),2154.31034483,2154.31
49489,24797,HISENSE U3 1/16 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),1119.82758621,1119.83
49497,25690,"GAR117 POWER BANK 20,000 mAh 1HORA GAR117 NEGRO",1.0,SUC. VIA ALTA SUR (LEON),343.97,343.97
49498,29410,99.99% de descuento en productos,1.0,SUC. VIA ALTA SUR (LEON),-68.794,-68.79
49499,26042,ZTE A31 1/32 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),1723.27586207,1723.28
49507,29341,SAM A13 4/64 NEGRO,1.0,SUC. CORREGIDORA 2 (QRO),3964.655172,3964.66
49509,19475,BLU Z4 X/X NEGRO/AZUL,1.0,SUC. MADERO (LEON),257.75862069,257.76
49514,29411,20.0% de descuento en productos,1.0,SUC. PLAZA PATIO (QRO),-34.31,-34.31
49516,29411,20.0% de descuento en productos,1.0,SUC. PLAZA PATIO (QRO),-34.31,-34.31
49532,26427,SAM A03 4/128 AZUL,1.0,SUC. LA VICTORIA (QRO),3792.24137931,3792.24
49539,26431,SAM A13 4/128 BLANCO,1.0,SUC. CORREGIDORA 4 (QRO),4309.48275862,4309.4800000000005
49543,19476,BLU Z4 X/X NEGRO/ROJO,1.0,SUC. CORREGIDORA 2 (QRO),257.75862069,257.76
49553,19527,BOCINA MOREKA T23,1.0,SUC. LEON CENTRO (LEON),171.55172414,171.55
49558,19474,BLU TANK-MEGA X/X NEGRO/VERDE,1.0,SUC. PLAZA MAYOR (LEON),602.5862069,602.59
49565,26427,SAM A03 4/128 AZUL,-1.0,SUC. LA VICTORIA (QRO),3792.24137931,-3792.24
49571,26427,SAM A03 4/128 AZUL,1.0,SUC. LA VICTORIA (QRO),3792.24137931,3792.24
49592,29505,HONOR X7 4/128 PLATA,1.0,SUC. VIA ALTA SUR (LEON),3619.82758621,3619.83
